[2026-04-22T00:47:30Z] issue=826 pattern=freeform_yn_bracket window=ap-twill-feat-826-tech-debt-inter-16245154
[2026-04-22T02:44:13Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:44:33Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:44:54Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:45:14Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:45:35Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:45:55Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:46:16Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:46:37Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:46:57Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:47:18Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:47:38Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:47:59Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:48:19Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:48:40Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:49:01Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:49:21Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:49:42Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:50:02Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:50:23Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:50:43Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:51:04Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:51:24Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:51:45Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:52:05Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:52:26Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:52:46Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:53:07Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:53:27Z] issue=842 pattern=menu_enter_select window=
[2026-04-22T02:53:48Z] issue=842 pattern=menu_enter_select window=
